0,0.5247
1,0.4936
2,0.4747
3,0.4612
4,0.4518
5,0.4440
6,0.4375
7,0.4318
8,0.4277
9,0.4226
10,0.4185
11,0.4150
12,0.4121
13,0.4086
14,0.4055
15,0.4019
16,0.3988
17,0.3967
18,0.3927
19,0.3897
20,0.3869
21,0.3840
22,0.3813
23,0.3789
24,0.3774
25,0.3751
26,0.3728
27,0.3705
28,0.3686
29,0.3663
30,0.3644
31,0.3624
32,0.3603
33,0.3587
34,0.3570
35,0.3550
36,0.3531
37,0.3512
38,0.3494
39,0.3476
40,0.3459
41,0.3441
42,0.3425
43,0.3409
44,0.3391
45,0.3376
46,0.3362
47,0.3347
48,0.3330
49,0.3309
50,0.3290
51,0.3275
52,0.3261
53,0.3243
54,0.3228
55,0.3207
56,0.3184
57,0.3168
58,0.3150
59,0.3127
60,0.3111
61,0.3089
62,0.3070
63,0.3051
64,0.3032
65,0.3015
66,0.2997
67,0.2978
68,0.2961
69,0.2944
70,0.2924
71,0.2906
72,0.2886
73,0.2871
74,0.2856
75,0.2840
76,0.2825
77,0.2808
78,0.2794
79,0.2777
80,0.2760
81,0.2745
82,0.2732
83,0.2716
84,0.2701
85,0.2687
86,0.2675
87,0.2660
88,0.2645
89,0.2630
90,0.2616
91,0.2602
92,0.2587
93,0.2571
94,0.2557
95,0.2544
96,0.2530
97,0.2516
98,0.2503
99,0.2488
100,0.2474
101,0.2461
102,0.2444
103,0.2431
104,0.2415
105,0.2404
106,0.2389
107,0.2377
108,0.2363
109,0.2349
110,0.2336
111,0.2324
112,0.2311
113,0.2299
114,0.2287
115,0.2275
116,0.2261
117,0.2249
118,0.2238
119,0.2226
120,0.2215
121,0.2204
122,0.2192
123,0.2182
124,0.2168
125,0.2156
126,0.2144
127,0.2135
128,0.2124
129,0.2113
130,0.2100
131,0.2089
132,0.2077
133,0.2066
134,0.2054
135,0.2043
136,0.2033
137,0.2022
138,0.2011
139,0.1999
140,0.1987
141,0.1977
142,0.1966
143,0.1956
144,0.1945
145,0.1933
146,0.1923
147,0.1912
148,0.1902
149,0.1890
150,0.1880
151,0.1869
152,0.1860
153,0.1849
154,0.1839
155,0.1828
156,0.1820
157,0.1809
158,0.1800
159,0.1790
160,0.1780
161,0.1771
162,0.1761
163,0.1751
164,0.1742
165,0.1734
166,0.1724
167,0.1713
168,0.1704
169,0.1694
170,0.1685
171,0.1677
172,0.1668
173,0.1659
174,0.1651
175,0.1643
176,0.1633
177,0.1624
178,0.1614
179,0.1604
180,0.1594
181,0.1586
182,0.1577
183,0.1567
184,0.1558
185,0.1548
186,0.1540
187,0.1531
188,0.1522
189,0.1514
190,0.1506
191,0.1498
192,0.1490
193,0.1482
194,0.1473
195,0.1466
196,0.1458
197,0.1451
198,0.1443
199,0.1436
200,0.1429
201,0.1421
202,0.1414
203,0.1407
204,0.1400
205,0.1393
206,0.1386
207,0.1380
208,0.1372
209,0.1366
210,0.1360
211,0.1353
212,0.1348
213,0.1342
214,0.1335
215,0.1329
216,0.1323
217,0.1318
218,0.1311
219,0.1306
220,0.1300
221,0.1294
222,0.1287
223,0.1282
224,0.1277
225,0.1271
226,0.1266
227,0.1260
228,0.1255
229,0.1251
230,0.1246
231,0.1241
232,0.1237
233,0.1232
234,0.1228
235,0.1223
236,0.1219
237,0.1214
238,0.1210
239,0.1206
240,0.1202
241,0.1198
242,0.1193
243,0.1189
244,0.1185
245,0.1182
246,0.1177
247,0.1173
248,0.1170
249,0.1166
250,0.1162
251,0.1158
252,0.1155
253,0.1151
254,0.1149
255,0.1144
256,0.1141
257,0.1138
258,0.1135
259,0.1131
260,0.1127
261,0.1124
262,0.1121
263,0.1118
264,0.1115
265,0.1112
266,0.1109
267,0.1106
268,0.1103
269,0.1099
270,0.1097
271,0.1094
272,0.1091
273,0.1089
274,0.1086
275,0.1083
276,0.1081
277,0.1078
278,0.1075
279,0.1072
280,0.1069
281,0.1067
282,0.1064
283,0.1061
284,0.1058
285,0.1056
286,0.1053
287,0.1050
288,0.1048
289,0.1046
290,0.1043
291,0.1040
292,0.1037
293,0.1035
294,0.1033
295,0.1031
296,0.1029
297,0.1026
298,0.1024
299,0.1021
300,0.1019
301,0.1016
302,0.1014
303,0.1012
304,0.1010
305,0.1007
306,0.1006
307,0.1004
308,0.1002
309,0.0999
310,0.0997
311,0.0994
312,0.0992
313,0.0989
314,0.0986
315,0.0984
316,0.0982
317,0.0978
318,0.0975
319,0.0971
320,0.0968
321,0.0964
322,0.0961
323,0.0958
324,0.0954
325,0.0950
326,0.0947
327,0.0944
328,0.0941
329,0.0938
330,0.0936
331,0.0933
332,0.0930
333,0.0928
334,0.0926
335,0.0924
336,0.0922
337,0.0920
338,0.0918
339,0.0916
340,0.0914
341,0.0913
342,0.0911
343,0.0909
344,0.0907
345,0.0906
346,0.0904
347,0.0903
348,0.0901
349,0.0899
350,0.0898
351,0.0896
352,0.0895
353,0.0893
354,0.0892
355,0.0890
356,0.0888
357,0.0887
358,0.0885
359,0.0883
360,0.0882
361,0.0880
362,0.0878
363,0.0877
364,0.0876
365,0.0874
366,0.0873
367,0.0871
368,0.0870
369,0.0869
370,0.0867
371,0.0866
372,0.0865
373,0.0864
374,0.0863
375,0.0862
376,0.0861
377,0.0859
378,0.0858
379,0.0857
380,0.0856
381,0.0856
382,0.0855
383,0.0853
384,0.0853
385,0.0852
386,0.0850
387,0.0850
388,0.0849
389,0.0848
390,0.0847
391,0.0846
392,0.0845
393,0.0844
394,0.0843
395,0.0842
396,0.0841
397,0.0840
398,0.0840
399,0.0839
